species_ID,gen_spp,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,tribe,superfamily,subclass,wormsid_species
SP71,Garra rufa,Garra rufa,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Garra,NA,Cyprinoidea,NA,689117
SP30,Geophagus brasiliensis,geophagus brasiliensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Geophagus,NA,NA,NA,169915
SP63,Gymnocephalus cernuus,Gymnocephalus cernuus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Gymnocephalus,NA,NA,NA,168520
SP67,Harpagifer antarcticus,Harpagifer antarcticus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Harpagiferidae,Harpagiferinae,Harpagifer,NA,NA,NA,642860
SP38,Hippoglossus hippoglossus,hippoglossus hippoglossus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Hippoglossinae,Hippoglossus,NA,NA,NA,172933
SP8,Ictiobus bubalus,ictiobus bubalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Ictiobinae,Ictiobus,NA,Cobitoidea,NA,163955
SP77,Lepidomeda copei,Lepidomeda copei,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Plagopterinae,Lepidomeda,NA,Cyprinoidea,NA,913987
SP86,Lepidopsetta polyxystra,Lepidopsetta polyxystra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Lepidopsetta,Microstomini,NA,NA,616392
SP42,Lepomis macrochirus,Lepomis macrochirus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centrarchidae,NA,Lepomis,NA,NA,NA,168141
SP60,Lota lota,Lota lota,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Lotinae,Lota,NA,NA,NA,164725
SP82,Lutjanus griseus,Lutjanus griseus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,NA,NA,NA,168848
SP85,Lutjanus apodus,Lutjanus apodus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,NA,NA,NA,168850
SP44,Micropterus dolomieu,micropterus dolomieu,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centrarchidae,NA,Micropterus,NA,NA,NA,550562
SP80,Myoxocephalus scorpius,Myoxocephalus scorpius,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,Cottidae,NA,Myoxocephalus,NA,Cottoidea,NA,167318
SP21,Oncorhynchus nerka,Oncorhynchus nerka,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,161979
SP39,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,161980
SP53,Oncorhynchus clarkii,Oncorhynchus clarkii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,161983
SP79,Oncorhynchus clarkii,Oncorhynchus clarkii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,161983
