Trait Group,Trait Name,Trait Unit,Trait Definition,Trait motivation,organization,,,,
metabolism,embryonic-metabolism,nmol/ind/hr,Oxygen consumption rate of embryos,autonomic,internal,,,,"treated with difference co2 concentrations during egg stage, then grew in different temperatures "
,,,,,,,,,
somatic growth,absolute-growth-rate-length,mm/day,"The average daily increase in length, calculated as the difference between final and initial length over time",autonomic,individual,,,,
somatic growth,absolute-growth-rate-mass,g/day; mg/day; %/day,"The average daily increase in body mass, calculated as the difference between final and initial mass over time. This includes simple linear gains in mass as well as measures expressed relative to initial mass (percent gain per day) when logarithmic is not applied. ",autonomic,individual,,,,
somatic growth,specific-growth-rate-length,mm/day; %growth-length/day; cm/day; %totallength/day,"The instantaneous, size-standardized rate of increase in body length",autonomic,individual,,,,NA
somatic growth,growth-efficiency,%dry weight,The proportion of ingested food that is converted into somatic growth,autonomic,internal,,,,NA
somatic growth,specific-growth-rate-mass,%per-day; %-wet-weight/day; %bodymass/day; % initial weight/day,"The instantaneous, size-standardized rate of increase in body weight, using log ratio approach",autonomic,individual,,,,"growth of juveniles was estimated in terms of increase in wet weight. The young were anesthetized with MS-222 (tricaine methanesulfonate, Sigma Chemical Co.), allowed to drip dry in a net for 10 s, weighed individually to the nearest 0.01 g, and immediately returned to their respective tanks. In Experiment 1 fish were weighed once a week, except for week 11; in Experiments 2 and 3, fish were weighed once every 2 weeks. The change in weighing schedule was adopted to reduce the stress associated with handling. A sample of fish from each experimental group was dried at 70°C for 24 h at the beginning of each experiment to determine moisture content for use in adjusting rations."
somatic growth,energy-based-growth-rate,J/g/day,Absolute gain in energy content per unit mass per day,autonomic,individual,,,(gain or loss in energy content in J/day)/initial live weight of fish in g),"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods.  growth rate = This was the difference between the initial and final energy content of the test fish."
somatic growth,early-life-growth-rate-length,mm/day,"The average daily increase in body length of an individual during early developmental stages, measured over a defined period (from fertilization to hatching for embryos, or from hatching through the first few days for larvae)",autonomic,individual,,,,
somatic growth,otolith-specific-growth-rate,%/day,"The daily relative increase in otolith size, calculated as the change in otolith dimension (radius or length) relative to its initial size",autonomic,individual,,,,"Live eels were captured over a 5-day period and kept in a holding facility at 10°C. They were not fed during holding. Then, they were flown to the university laboratory and held at 10°C for 2 days to recover from transport-induced stress. Eels were randomly distributed in 10 tanks, each containing 200 eels.  Each of these tanks represented one test temperature.Temp treatments ranged from 10 to 37C by 3 degree increments. The eels were acclimated to these rearing temperatures at a rate of 3°C every 48 h. Fish were fed ad libitum. Fish were held at these temps for the duration of the growth study (32 weeks). All fish in the 37°C treatment died."
